hold_id,branch,n_samples,full_modal_n,is_full_hold,u_prev_v,u_cmd_v,delta_u_v,duration_s,tail_n_samples,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,displacement_step_mm,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,accepted_for_creep,exclusion_reason
74,up,400,400,TRUE,5.66,6.617,0.9569999999999999,4,20,21.1,24.74,3.04,3.62,3.639999999999997,0,0,0,0,TRUE,NA
75,down,400,400,TRUE,6.617,4.189,-2.428,4,20,24.74,14.033,3.62,2.16,-10.706999999999999,0.00978720969859165,0,-0.13684210526315105,0,TRUE,NA
76,down,400,400,TRUE,4.189,3.76,-0.42900000000000027,4,20,14.02,11.839,2.16,1.9,-2.180999999999999,0.004472135954999484,0,-0.02857142857143119,0,TRUE,NA
77,up,400,400,TRUE,3.76,6.139,2.3790000000000004,4,20,11.82,22.189,1.9,3.34,10.369,0.010208355710680591,0,0.1488721804511529,0,TRUE,NA
78,down,400,400,TRUE,6.139,3.239,-2.9000000000000004,4,20,22.2,9.66,3.34,1.6,-12.54,0.009176629354822274,0,-0.10827067669171747,0,TRUE,NA
79,down,400,400,TRUE,3.239,2.018,-1.221,4,20,9.64,5.145,1.6,0.86,-4.495000000000001,0.008885233166386591,0,-0.11278195488721392,0,TRUE,NA
80,up,400,400,TRUE,2.018,2.488,0.4700000000000002,4,20,5.14,5.96,0.86,1.14,0.8200000000000003,0,0,0,0,FALSE,small_displacement_step
81,up,400,400,TRUE,2.488,3.723,1.2349999999999999,4,20,5.96,9.9,1.14,1.88,3.9400000000000004,0,0,0,0,TRUE,NA
82,down,400,400,TRUE,3.723,1.476,-2.247,4,20,9.9,3.4059999999999997,1.88,0.52,-6.494000000000001,0.014653901941300942,0,-0.22556390977443902,0,TRUE,NA
83,up,400,400,TRUE,1.476,3.674,2.198,4,20,3.4,9.439,0.52,1.84,6.039,0.004472135954999484,0,0.028571428571435343,0,TRUE,NA
84,down,400,400,TRUE,3.674,1.558,-2.1159999999999997,4,20,9.44,3.508,1.84,0.575,-5.9319999999999995,0.010052493799000702,0.008885233166386345,-0.027067669172931255,0.11278195488721814,TRUE,NA
85,up,400,400,TRUE,1.558,2.88,1.3219999999999998,4,20,3.52,6.58,0.58,1.38,3.06,0,0,0,0,TRUE,NA
86,up,400,400,TRUE,2.88,4.185,1.3049999999999997,4,20,6.58,11.38,1.38,2.16,4.800000000000001,0,0,0,0,TRUE,NA
87,up,400,400,TRUE,4.185,4.585,0.40000000000000036,4,20,11.38,13.36,2.16,2.4,1.9799999999999986,0,0,0,0,TRUE,NA
