hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,u_ff_v,p_ff_bar,u_abs_error_v,p_abs_error_bar,dataset_role
45,2.371,3.311,-0.94,down,400,0.05,20,5.6800000000000015,1.0799999999999996,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,True,2.1280192408364385,0.9209461909561905,0.24298075916356154,0.15905380904380917,single_design_dataset
46,1.872,2.371,-0.4989999999999999,down,400,0.05,20,4.239999999999999,0.7799999999999999,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,1.6262073565357709,0.6092149674596893,0.24579264346422924,0.17078503254031063,single_design_dataset
48,1.526,3.38,-1.8539999999999999,down,400,0.05,20,3.28,0.5600000000000002,0.0,1.1102230246251565e-16,0.0,0.0,True,1.3018128211233557,0.42296168241423165,0.2241871788766443,0.1370383175857685,single_design_dataset
50,1.669,4.813,-3.1439999999999997,down,400,0.05,20,3.681000000000001,0.65,0.004358898943540677,0.010000000000000009,-0.10000000000000009,0.10000000000000009,True,1.4530525317645648,0.5104261346227895,0.2159474682354352,0.1395738653772105,single_design_dataset
53,2.014,5.064,-3.0500000000000003,down,400,0.05,20,4.695000000000002,0.86,0.008660254037844588,0.0,-0.10000000000000231,0.0,True,1.7892454018446984,0.7127030619883962,0.2247545981553014,0.14729693801160382,single_design_dataset
56,2.508,4.668,-2.16,down,400,0.05,20,6.093999999999999,1.16,0.009165151389911485,0.0,-0.09999999999999787,0.0,True,2.27593981906927,1.0120012330030732,0.2320601809307301,0.1479987669969267,single_design_dataset
57,2.133,2.508,-0.375,down,400,0.05,20,4.900000000000001,0.9400000000000001,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,1.8633580252291664,0.7596754553659156,0.2696419747708336,0.18032454463408443,single_design_dataset
58,1.656,2.133,-0.4770000000000001,down,400,0.05,20,3.55,0.6400000000000001,0.010000000000000009,1.1102230246251565e-16,-0.10000000000000009,0.0,True,1.4085494806009076,0.48495998241175686,0.24745051939909235,0.15504001758824326,single_design_dataset
61,4.433,5.423,-0.9900000000000002,down,400,0.05,20,13.52,2.2999999999999994,0.0,4.440892098500626e-16,0.0,0.0,True,4.142300804805686,2.1294950160890704,0.2906991951943141,0.17050498391092894,single_design_dataset
63,4.771,5.897,-1.1260000000000003,down,400,0.05,20,15.559999999999999,2.5090000000000003,1.7763568394002505e-15,0.009949874371066208,0.0,0.10000000000000009,True,4.5337297534533185,2.3656731352538913,0.23727024654668138,0.143326864746109,single_design_dataset
