branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
down,2.5,0.2999999999999998,0.040576191373711386,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.5100000000000002,0.31000000000000005,0.039813241951772944,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.52,0.31999999999999984,0.03906463817935781,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.5300000000000002,0.33000000000000007,0.03833011031688117,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.54,0.33999999999999986,0.0376093936966405,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.5500000000000003,0.3500000000000001,0.03690222862744928,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.56,0.3599999999999999,0.03620836030106436,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.57,0.36999999999999966,0.035527538700372376,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.58,0.3799999999999999,0.034859518509302745,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.59,0.3899999999999997,0.034204059024434616,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.6,0.3999999999999999,0.033560924068265524,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.61,0.4099999999999997,0.03292988190411132,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.62,0.41999999999999993,0.032310705152605756,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.63,0.4299999999999997,0.031703170709770544,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.64,0.43999999999999995,0.03110705966662552,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.65,0.44999999999999973,0.030522157230310824,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.66,0.45999999999999996,0.029948252646691695,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.67,0.46999999999999975,0.029385139124419073,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.68,0.48,0.02883261376041753,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.69,0.48999999999999977,0.028290477466774756,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.7,0.5,0.027758534899005264,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.71,0.5099999999999998,0.02723659438566339,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.72,0.52,0.026724467859279337,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.73,0.5299999999999998,0.026221970788594222,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.74,0.54,0.025728922112068946,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.75,0.5499999999999998,0.025245144172643633,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.7600000000000002,0.56,0.024770462653723412,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.77,0.5699999999999998,0.02430470651636821,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
