xref[mm],s[mm],p[bar],u[V],t[ms] 
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.346,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.400,1.720,10.000
10.000,3.345,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
10.000,3.335,9.420,1.720,10.000
