xref[mm],s[mm],p[bar],u[V],t[ms] 
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.940,1.860,10.000
10.000,3.565,8.960,1.860,10.000
10.000,3.555,8.960,1.860,10.000
10.000,3.555,8.960,1.860,10.000
10.000,3.555,8.960,1.860,10.000
10.000,3.555,8.960,1.860,10.000
10.000,3.555,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.960,1.860,10.000
10.000,3.556,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.860,10.000
10.000,3.546,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
10.000,3.548,8.980,1.840,10.000
