xref[mm],s[mm],p[bar],u[V],t[ms] 
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.160,0.680,10.000
4.395,1.662,3.160,0.680,10.000
4.395,1.685,3.160,0.680,10.000
4.395,1.662,3.140,0.680,10.000
4.528,1.694,3.140,0.680,10.000
4.528,1.999,3.140,0.680,10.000
4.528,2.059,3.140,0.680,10.000
4.528,2.037,3.140,0.680,10.000
4.528,2.060,3.140,0.680,10.000
4.528,2.037,3.200,0.720,10.000
4.528,2.017,3.420,0.780,10.000
4.528,1.871,3.600,0.820,10.000
4.528,1.796,3.700,0.860,10.000
4.528,1.712,3.740,0.880,10.000
4.528,1.710,3.760,0.880,10.000
4.528,1.677,3.780,0.880,10.000
4.528,1.691,3.780,0.880,10.000
4.528,1.668,3.780,0.860,10.000
4.528,1.698,3.780,0.860,10.000
4.528,1.675,3.780,0.860,10.000
4.528,1.698,3.780,0.860,10.000
4.528,1.675,3.780,0.860,10.000
4.528,1.698,3.780,0.860,10.000
4.528,1.675,3.780,0.860,10.000
4.528,1.698,3.780,0.840,10.000
4.528,1.682,3.780,0.840,10.000
4.528,1.705,3.780,0.840,10.000
4.528,1.682,3.780,0.840,10.000
4.528,1.705,3.780,0.840,10.000
4.528,1.683,3.780,0.840,10.000
4.528,1.705,3.780,0.840,10.000
4.528,1.683,3.780,0.840,10.000
4.528,1.705,3.780,0.840,10.000
4.528,1.683,3.780,0.840,10.000
4.528,1.705,3.780,0.840,10.000
4.528,1.683,3.780,0.840,10.000
4.528,1.705,3.780,0.840,10.000
4.528,1.683,3.780,0.840,10.000
4.528,1.705,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.780,0.820,10.000
4.528,1.690,3.780,0.820,10.000
4.528,1.713,3.760,0.820,10.000
4.528,1.699,3.760,0.800,10.000
4.528,1.729,3.760,0.800,10.000
4.528,1.706,3.760,0.800,10.000
4.528,1.729,3.760,0.800,10.000
4.528,1.706,3.760,0.800,10.000
4.528,1.729,3.760,0.800,10.000
4.528,1.706,3.760,0.800,10.000
4.528,1.729,3.760,0.800,10.000
